title,rus_title,kz_title,city_from,pop_1979,pop_1989,pop_1999,pop_2009,pop_2014,pop_2019,status,region,area,altitude,timezone,zipcode,current_pop,lat,lon
Жезказган,Жезказган,Жезқазған,1954,89200.0,107053.0,90001.0,86227.0,84977.0,87192.0,3,Карагандинская область,,300.0,UTC+6:00,100600,87200.0,47.78333,67.7
Жем,Жем,Жем,1967,,,1142.0,1936.0,2033.0,1771.0,5,Актюбинская область,,,UTC+5:00,,1772.0,48.775,58.075
Жетысай,Жетысай,Жетісай,1969,,,30487.0,36494.0,29688.0,23862.0,4,Туркестанская область,,,UTC+6:00,"160500, 160501",24484.0,40.77528,68.32722
Житикара,Житикара,Жітіқара,1939,,32700.0,36359.0,33587.0,35132.0,34736.0,4,Костанайская область,7.3,,UTC+6:00,"110700, 110701",34736.0,52.19083,61.20056
Зайсан,Зайсан,Зайсаң,1941,,,16021.0,14389.0,15712.0,16253.0,4,Восточно-Казахстанская область,,660.0,UTC+6:00,"070700, 070701",16261.0,47.46667,84.86667
Зыряновск,Зыряновск,Зыряновск,1941,51132.0,52900.0,43894.0,39320.0,37806.0,36116.0,3,Восточно-Казахстанская область,,,UTC+6:00,"070800 — 070804, F42****",36116.0,49.73861,84.27194
Казалинск,Казалинск,Қазалы,1867,,,7298.0,7686.0,7214.0,5776.0,5,Кызылординская область,,,UTC+5:00,120409,5777.0,45.76667,62.11667
Кандыагаш,Кандыагаш,Қандыағаш,1967,,26700.0,25553.0,29169.0,32102.0,35626.0,4,Актюбинская область,,,UTC+5:00,030700—030701,36028.0,49.47444,57.42333
Капшагай,Капшагай,Қапшағай,1970 (?),25200.0,37900.0,33428.0,39855.0,43618.0,45522.0,4,Алматинская область,56.03,540.0,UTC+6:00,040800 — 040803,61767.0,43.88333,77.08333
Караганда,Караганды,Қарағанды,1934,571877.0,613797.0,436864.0,459778.0,489355.0,497767.0,2,Карагандинская область,279.0,553.0,UTC+6:00,100000-100030,497777.0,49.8,73.11667
Каражал,Каражал,Қаражал,1963,,18100.0,12658.0,10027.0,9569.0,8086.0,3,Карагандинская область,12662.0,,UTC+6:00,100700,8091.0,48.00556,70.79167
Каратау,Каратау,Қаратау,1963,,,28281.0,26639.0,27667.0,30214.0,4,Жамбыльская область,200.0,,UTC+6:00,080800—080803,30204.0,43.16667,70.46667
